exercise_id,user_id,timestamp,category,subcategory,format,content_theme,difficulty,performance_score,time_taken
465c71b1-5393-4d55-8d20-30cc08c50d74,e0fa472b-9738-4814-b366-5e0f6f668547,2024-09-09 19:28:57.351897,vocabulary,collocations,fill-in-the-blank,music,0.893553265539983,0.6509647809669501,45
82c3909d-02a9-48aa-85ab-2dfb825fc65f,e0fa472b-9738-4814-b366-5e0f6f668547,2024-09-29 20:23:15.351897,fluency,filler_words,sentence-formation,literature,0.644223904920049,0.7559064879314441,283
8dc6588a-11a0-499f-b728-66aa2c5b6562,e0fa472b-9738-4814-b366-5e0f6f668547,2024-09-22 01:15:52.351897,fluency,filler_words,sentence-formation,literature,0.37350162849705404,0.987287436378916,205
0da2031b-4a6e-4079-b290-2e2e7128a149,e0fa472b-9738-4814-b366-5e0f6f668547,2024-09-24 15:10:22.351897,grammar,preposition_usage,sentence-formation,movies,0.7297308713747761,0.9549567616813771,86
9b0b4e36-3fc2-498a-82a2-979b1a8b6aa2,e0fa472b-9738-4814-b366-5e0f6f668547,2024-09-25 12:55:00.351897,vocabulary,idiomatic_expressions,fill-in-the-blank,anime,0.127280398592017,0.8071260669451361,147
ec438470-d358-4833-aad6-30c0c8ecc46c,e0fa472b-9738-4814-b366-5e0f6f668547,2024-09-21 07:28:11.351897,fluency,speaking_speed,fill-in-the-blank,literature,0.971353214666508,0.936074079544801,243
a6fc1fb8-cc37-431f-b6cf-b8e1ac16151f,495df2d5-03da-4575-8cba-6bf4f7feca23,2024-09-27 11:44:29.351897,grammar,tense_usage,multiple-choice,technology,0.804844804872836,0.7516723852850971,48
149383e0-f7be-456a-a52a-9bef7ae70a59,495df2d5-03da-4575-8cba-6bf4f7feca23,2024-09-12 01:34:56.351897,fluency,filler_words,multiple-choice,technology,0.5601802840994781,0.9130652709277761,149
51255695-3328-4e37-ae28-51f1d16263a4,495df2d5-03da-4575-8cba-6bf4f7feca23,2024-09-13 13:41:48.351897,vocabulary,academic_vocabulary,audio-recording,anime,0.31593466441120804,0.9769377856983651,262
89b49ef1-4568-42d3-999f-52e3a0ddc47f,495df2d5-03da-4575-8cba-6bf4f7feca23,2024-09-22 20:23:25.351897,vocabulary,idiomatic_expressions,fill-in-the-blank,anime,0.47144794209670204,0.9145407974406631,100
a3fefbac-ab46-400e-9665-cea97ec7e99b,495df2d5-03da-4575-8cba-6bf4f7feca23,2024-10-01 06:01:01.351897,fluency,speaking_speed,sentence-formation,technology,0.710318283847666,0.705415460025103,253
6633e274-e6f8-460e-b891-9f5ea696fbfc,495df2d5-03da-4575-8cba-6bf4f7feca23,2024-09-15 09:33:50.351897,fluency,filler_words,fill-in-the-blank,technology,0.31597772580710903,0.5096047080471331,136
ac989b52-4c8b-4a8b-b38a-4c5b12e94c9a,495df2d5-03da-4575-8cba-6bf4f7feca23,2024-09-14 23:30:43.351897,fluency,speaking_speed,fill-in-the-blank,movies,0.8764956794917511,0.755484189297777,54
5007bb21-f3cb-4e17-acad-889539abcddd,495df2d5-03da-4575-8cba-6bf4f7feca23,2024-09-05 15:27:50.351897,pronunciation,word_stress,sentence-formation,movies,0.278580468451382,0.558150242570789,275
4748348a-3739-4dc8-ab5f-4aafc29d2eea,495df2d5-03da-4575-8cba-6bf4f7feca23,2024-09-22 04:31:26.351897,grammar,tense_usage,sentence-formation,movies,0.38151676945670704,0.5630143350451311,34
5714a610-15b2-4628-a765-51ec1cbf57d2,495df2d5-03da-4575-8cba-6bf4f7feca23,2024-09-27 17:07:48.351897,grammar,article_usage,audio-recording,movies,0.813966682106487,0.615827503089266,230
00baf49b-9955-4bc2-add3-9fc6826c9958,495df2d5-03da-4575-8cba-6bf4f7feca23,2024-09-22 04:24:49.351897,fluency,coherence,fill-in-the-blank,movies,0.499676309370822,0.8306874969774171,36
a9f1943b-b575-464e-b477-a9a488637619,495df2d5-03da-4575-8cba-6bf4f7feca23,2024-09-20 01:51:16.351897,fluency,coherence,sentence-formation,movies,0.661928563445468,0.926579382406665,157
8835083e-bd94-4da2-8773-4636278eecd0,495df2d5-03da-4575-8cba-6bf4f7feca23,2024-09-23 06:39:38.351897,fluency,coherence,sentence-formation,technology,0.541396773556279,0.6457334766446361,36
4c9891f9-5795-4f5b-9b49-e610312d5088,495df2d5-03da-4575-8cba-6bf4f7feca23,2024-09-12 08:48:12.351897,fluency,pausing,audio-recording,anime,0.19214195695952702,0.871262037126988,127
7b1a1670-bb2d-4804-bdee-e5cdbfd142e8,495df2d5-03da-4575-8cba-6bf4f7feca23,2024-09-27 23:51:17.351897,pronunciation,consonant_sounds,sentence-formation,movies,0.24516382406157602,0.7954997540402221,231
2be70b7e-4912-43f0-afef-19681e99b78d,495df2d5-03da-4575-8cba-6bf4f7feca23,2024-09-16 14:07:20.351897,pronunciation,consonant_sounds,audio-recording,anime,0.496056540184904,0.8914768520589871,125
ba5ef537-da1a-4b17-986b-7440923182c9,495df2d5-03da-4575-8cba-6bf4f7feca23,2024-10-02 09:18:30.351897,grammar,article_usage,sentence-formation,movies,0.828619072066146,0.7593973621319241,205
794ca2b1-e770-4a89-a232-102d2c5242f3,495df2d5-03da-4575-8cba-6bf4f7feca23,2024-09-24 17:35:06.351897,grammar,tense_usage,sentence-formation,movies,0.9977455192465321,0.5580985749078631,246
cec6f024-1fcf-48e7-ac9e-c6d757eec74c,495df2d5-03da-4575-8cba-6bf4f7feca23,2024-09-08 06:46:46.351897,pronunciation,word_stress,audio-recording,movies,0.24384518351926202,0.9413916020949591,96
811e967b-5081-47c5-9eee-4cab451eb18f,495df2d5-03da-4575-8cba-6bf4f7feca23,2024-09-10 20:05:08.351897,grammar,article_usage,sentence-formation,anime,0.24439597063908103,0.524125526087695,61
22446828-869a-448f-a66e-b30ab56d8546,197b6cf3-59b6-40da-b859-dfcc93cde919,2024-09-08 15:53:17.351897,vocabulary,academic_vocabulary,audio-recording,technology,0.185833652326324,0.9154212168442851,227
93d6fa9c-140a-4b8f-bdaa-3f7818e0631a,197b6cf3-59b6-40da-b859-dfcc93cde919,2024-10-02 14:37:59.351897,fluency,speaking_speed,fill-in-the-blank,sports,0.370479375818402,0.944825998873503,183
758a57f8-2a60-47eb-ab51-fc1dd9b61769,197b6cf3-59b6-40da-b859-dfcc93cde919,2024-09-26 05:14:49.351897,fluency,speaking_speed,fill-in-the-blank,technology,0.729643495281029,0.851298120293108,62
dae1629c-f50c-4d70-82df-4715fa27e1ae,197b6cf3-59b6-40da-b859-dfcc93cde919,2024-09-17 17:12:53.351897,fluency,coherence,sentence-formation,music,0.5593786643053721,0.5027701974133211,192
2f3c1c25-dffd-475a-8dd8-bedd7e8cb343,197b6cf3-59b6-40da-b859-dfcc93cde919,2024-09-17 04:10:32.351897,vocabulary,idiomatic_expressions,multiple-choice,music,0.837974406216439,0.601225409097442,184
d6e14cfb-0dbb-496c-9b40-21f023535735,197b6cf3-59b6-40da-b859-dfcc93cde919,2024-09-21 12:12:51.351897,pronunciation,intonation,fill-in-the-blank,sports,0.852417515183522,0.758977725354927,81
d602bd0a-2ec1-4f5f-bbe1-16b21b712670,197b6cf3-59b6-40da-b859-dfcc93cde919,2024-09-25 04:51:49.351897,vocabulary,idiomatic_expressions,sentence-formation,literature,0.45334232788273404,0.6707188234327071,233
55075622-1323-4ca0-95ec-5916265051b8,197b6cf3-59b6-40da-b859-dfcc93cde919,2024-09-13 01:24:13.351897,pronunciation,intonation,sentence-formation,technology,0.55239887066056,0.870017465194951,284
abd64d45-2b8c-4425-bf8d-5f95e599e6ea,197b6cf3-59b6-40da-b859-dfcc93cde919,2024-09-14 19:39:18.351897,pronunciation,word_stress,audio-recording,technology,0.25508669976590304,0.906706469515789,121
56a9c8b3-b929-4059-b520-8323ecb8f90e,197b6cf3-59b6-40da-b859-dfcc93cde919,2024-09-29 12:33:32.351897,pronunciation,vowel_sounds,sentence-formation,sports,0.25056636181887704,0.9688344641987241,120
605be733-aef9-4fbd-b798-1efebc7208eb,197b6cf3-59b6-40da-b859-dfcc93cde919,2024-09-15 20:47:52.351897,fluency,speaking_speed,sentence-formation,sports,0.669535018979454,0.8664882318732001,239
b504df47-f9d7-44ce-9cb1-a45e6f540116,197b6cf3-59b6-40da-b859-dfcc93cde919,2024-09-28 09:38:42.351897,pronunciation,word_stress,audio-recording,music,0.723716414992285,0.8963978382293301,173
e293b335-f440-455a-9ef8-d5062d42a73b,197b6cf3-59b6-40da-b859-dfcc93cde919,2024-09-24 22:35:12.351897,fluency,pausing,sentence-formation,music,0.139685913960339,0.7930657293594451,171
e20208d4-1123-42ef-90b0-85667f6a2d12,197b6cf3-59b6-40da-b859-dfcc93cde919,2024-09-07 09:20:57.351897,grammar,tense_usage,sentence-formation,music,0.16127614205516103,0.9476835665393281,35
0f32308e-1f65-4ca5-b398-2ecd0da651d9,197b6cf3-59b6-40da-b859-dfcc93cde919,2024-09-24 05:55:16.351897,vocabulary,academic_vocabulary,fill-in-the-blank,literature,0.43577585441869404,0.5731271020934771,81
b0cdb1fd-cf65-4b0d-bd4e-5d730af10a11,197b6cf3-59b6-40da-b859-dfcc93cde919,2024-09-12 06:19:11.351897,fluency,pausing,multiple-choice,literature,0.7323823098201301,0.5124025318519301,137
54d4dc6c-9ee7-40f5-81d0-82306ee91cfa,197b6cf3-59b6-40da-b859-dfcc93cde919,2024-10-04 19:43:35.351897,grammar,article_usage,fill-in-the-blank,technology,0.983479327322588,0.681888564939875,176
33b11369-b829-4e29-bfe1-4ec3b804b717,197b6cf3-59b6-40da-b859-dfcc93cde919,2024-09-14 12:57:14.351897,pronunciation,vowel_sounds,sentence-formation,music,0.252920593953403,0.9581613816243221,41
4e2f9e58-f92e-4be7-b222-568ad095e897,197b6cf3-59b6-40da-b859-dfcc93cde919,2024-09-27 07:55:23.351897,fluency,speaking_speed,multiple-choice,technology,0.31271879738539304,0.821390468529758,121
426f228d-504d-4780-a1e1-d069a3a8b5d8,197b6cf3-59b6-40da-b859-dfcc93cde919,2024-10-02 06:13:26.351897,pronunciation,consonant_sounds,multiple-choice,technology,0.509750636378815,0.938780199072303,79
df56d403-6c03-4940-acc4-f309766fccc5,197b6cf3-59b6-40da-b859-dfcc93cde919,2024-09-20 18:57:06.351897,fluency,coherence,sentence-formation,literature,0.34680416556543203,0.5339817231464461,212
76823ddb-ecaa-42ad-ac7b-d240ee92f33d,197b6cf3-59b6-40da-b859-dfcc93cde919,2024-09-09 01:51:50.351897,grammar,subject_verb_agreement,fill-in-the-blank,literature,0.9676163402737171,0.762749074555344,149
