user_id,country,age_band,proficiency_level,interests,cefr_level,overall_progress,total_practice_time,exercises_completed,daily_active_days,weekly_active_days,total_sessions,avg_session_duration,current_focus,adaptive_difficulty,personalized_goals,engagement_score_x,grammar_overall_score,vocabulary_overall_score,pronunciation_overall_score,fluency_overall_score,error_freq_fluency,error_freq_grammar,error_freq_pronunciation,error_freq_vocabulary,performance_score,timestamp,recent_grammar_errors,vocab_improvement,fluency_trend,engagement_score_y,error_freq_a_c,error_freq_a_r,error_freq_c_o,error_freq_c_o,error_freq_c_o,error_freq_f_i,error_freq_i_d,error_freq_i_n,error_freq_p_a,error_freq_p_r,error_freq_s_p,error_freq_s_u,error_freq_t_e,error_freq_v_o,error_freq_w_o,error_freq_w_o,performance_score_ma,days_active,total_utterances,sessions_per_week
e0fa472b-9738-4814-b366-5e0f6f668547,France,55+,Intermediate,"['cooking', 'music', 'literature', 'anime', 'movies']",B1,0.8568946970619481,143,362,15,6,76,12,fluency,0.841709817521439,"['pronunciation', 'fluency', 'vocabulary']",0.7072959300474471,0.476204934495181,0.5500490585129285,0.6270051862578094,0.41969503060700236,4,7,6,6,0.8487192689081041,2024-10-04 19:59:15.351897,['article_usage'],0.066282096783043,0.020405328822875,0.53021159252022,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0.888270166496335,27,21,5.444444444444445
e0fa472b-9738-4814-b366-5e0f6f668547,France,55+,Intermediate,"['cooking', 'music', 'literature', 'anime', 'movies']",B1,0.8568946970619481,143,362,15,6,76,12,fluency,0.841709817521439,"['pronunciation', 'fluency', 'vocabulary']",0.7072959300474471,0.476204934495181,0.5500490585129285,0.6270051862578094,0.41969503060700236,4,7,6,6,0.8487192689081041,2024-10-04 19:59:15.351897,['article_usage'],0.066282096783043,0.020405328822875,0.53021159252022,0,1,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0.888270166496335,27,21,5.444444444444445
e0fa472b-9738-4814-b366-5e0f6f668547,France,55+,Intermediate,"['cooking', 'music', 'literature', 'anime', 'movies']",B1,0.8568946970619481,143,362,15,6,76,12,fluency,0.841709817521439,"['pronunciation', 'fluency', 'vocabulary']",0.7072959300474471,0.476204934495181,0.5500490585129285,0.6270051862578094,0.41969503060700236,4,7,6,6,0.8487192689081041,2024-10-04 19:59:15.351897,['article_usage'],0.066282096783043,0.020405328822875,0.53021159252022,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0.888270166496335,27,21,5.444444444444445
e0fa472b-9738-4814-b366-5e0f6f668547,France,55+,Intermediate,"['cooking', 'music', 'literature', 'anime', 'movies']",B1,0.8568946970619481,143,362,15,6,76,12,fluency,0.841709817521439,"['pronunciation', 'fluency', 'vocabulary']",0.7072959300474471,0.476204934495181,0.5500490585129285,0.6270051862578094,0.41969503060700236,4,7,6,6,0.8487192689081041,2024-10-04 19:59:15.351897,['article_usage'],0.066282096783043,0.020405328822875,0.53021159252022,2,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0.888270166496335,27,21,5.444444444444445
495df2d5-03da-4575-8cba-6bf4f7feca23,France,25-34,Beginner,"['technology', 'anime', 'movies']",B1,0.822537493367063,1857,380,8,5,64,16,pronunciation,0.237205883596882,"['vocabulary', 'grammar', 'fluency']",0.6301169603235901,0.5321712847509906,0.5252640718990255,0.4899011048187659,0.347590482461559,3,5,5,3,0.7503982370952229,2024-10-04 19:59:15.351897,"['tense_usage', 'article_usage']",-0.037971566385336,0.190197416497312,0.452812552258659,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0.7348979834562857,23,10,3.0434782608695654
495df2d5-03da-4575-8cba-6bf4f7feca23,France,25-34,Beginner,"['technology', 'anime', 'movies']",B1,0.822537493367063,1857,380,8,5,64,16,pronunciation,0.237205883596882,"['vocabulary', 'grammar', 'fluency']",0.6301169603235901,0.5321712847509906,0.5252640718990255,0.4899011048187659,0.347590482461559,3,5,5,3,0.7503982370952229,2024-10-04 19:59:15.351897,"['tense_usage', 'article_usage']",-0.037971566385336,0.190197416497312,0.452812552258659,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0.7348979834562857,23,10,3.0434782608695654
495df2d5-03da-4575-8cba-6bf4f7feca23,France,25-34,Beginner,"['technology', 'anime', 'movies']",B1,0.822537493367063,1857,380,8,5,64,16,pronunciation,0.237205883596882,"['vocabulary', 'grammar', 'fluency']",0.6301169603235901,0.5321712847509906,0.5252640718990255,0.4899011048187659,0.347590482461559,3,5,5,3,0.7503982370952229,2024-10-04 19:59:15.351897,"['tense_usage', 'article_usage']",-0.037971566385336,0.190197416497312,0.452812552258659,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0.7348979834562857,23,10,3.0434782608695654
495df2d5-03da-4575-8cba-6bf4f7feca23,France,25-34,Beginner,"['technology', 'anime', 'movies']",B1,0.822537493367063,1857,380,8,5,64,16,pronunciation,0.237205883596882,"['vocabulary', 'grammar', 'fluency']",0.6301169603235901,0.5321712847509906,0.5252640718990255,0.4899011048187659,0.347590482461559,3,5,5,3,0.7503982370952229,2024-10-04 19:59:15.351897,"['tense_usage', 'article_usage']",-0.037971566385336,0.190197416497312,0.452812552258659,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0.7348979834562857,23,10,3.0434782608695654
197b6cf3-59b6-40da-b859-dfcc93cde919,Nigeria,45-54,Intermediate,"['technology', 'music', 'sports', 'literature']",A2,0.336706686724539,567,154,18,1,16,13,vocabulary,0.680295107887899,['pronunciation'],0.460438017177221,0.4860436023075195,0.42023704022866004,0.5332065139544887,0.5210499517196717,7,10,7,9,0.7534606030412189,2024-10-04 19:59:15.351897,[],0.140643082095526,-0.091192766306021,0.8656704444492941,0,0,2,0,0,2,0,0,1,0,2,0,0,0,0,0,0.6447670518489564,27,26,6.7407407407407405
197b6cf3-59b6-40da-b859-dfcc93cde919,Nigeria,45-54,Intermediate,"['technology', 'music', 'sports', 'literature']",A2,0.336706686724539,567,154,18,1,16,13,vocabulary,0.680295107887899,['pronunciation'],0.460438017177221,0.4860436023075195,0.42023704022866004,0.5332065139544887,0.5210499517196717,7,10,7,9,0.7534606030412189,2024-10-04 19:59:15.351897,[],0.140643082095526,-0.091192766306021,0.8656704444492941,0,4,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0.6447670518489564,27,26,6.7407407407407405
